Genus,A.WaimeaRidge,B.NorthOahu2,C.Poamoho,D.Lyon,E.Waimanalo,F.NorthOahu1,G.West_Oahu,H.WaimeaValley,I.WaimeaBG,J.UHM,K.KCBG,L.WR
Allo-Neo-Para-Rhizobium,0,56.56565657,16.66666667,45,88.88888889,100,100,100,100,90,84.84848485,100
Devosia,0,68.68686869,18.75,20,94.44444444,100,100,100,93.33333333,63.33333333,66.66666667,66.66666667
Shinella,0,0,0,0,16.66666667,33.33333333,27.77777778,0,6.666666667,6.666666667,0,0
Ochrobactrum,0,0,0,0,27.77777778,8.333333333,5.555555556,0,0,0,3.03030303,0
Microvirga,0,65.65656566,54.16666667,5,100,100,100,100,100,53.33333333,72.72727273,100
Bosea,0,17.17171717,0,10,55.55555556,83.33333333,66.66666667,0,13.33333333,40,36.36363636,33.33333333
Methylobacterium-Methylorubrum,33.33333333,9.090909091,26.04166667,7.5,77.77777778,75,66.66666667,0,26.66666667,60,48.48484848,55.55555556
Phyllobacterium,0,0,0,5,38.88888889,33.33333333,0,100,66.66666667,3.333333333,0,0
Cupriavidus,100,6.060606061,4.166666667,30,72.22222222,16.66666667,55.55555556,33.33333333,66.66666667,3.333333333,3.03030303,22.22222222
Mesorhizobium,0,0,4.166666667,7.5,83.33333333,91.66666667,55.55555556,100,100,86.66666667,72.72727273,100
Bradyrhizobium,100,89.8989899,97.91666667,97.5,100,100,83.33333333,100,100,6.666666667,3.03030303,0
Burkholderia-Paraburkholderia,100,4.04040404,32.29166667,52.5,88.88888889,100,61.11111111,0,53.33333333,83.33333333,27.27272727,11.11111111
Ensifer,0,1.01010101,0,0,61.11111111,8.333333333,66.66666667,100,66.66666667,90,57.57575758,66.66666667
